type,link
other,#
other,#
other,#
other,#wrapper
other,#aboutus
other,#experience
other,#education
other,#ourwork
other,#myjournal
other,#contact
other,https://gofund.me/650f7ba9
other,BCC_Transcript.pdf
other,work_experience.pdf
other,resume2021.pdf
other,https://www.highrezstudioz.com
other,https://www.nrm.org
other,https://www.berkshirecc.edu/academics/programs-and-classes/computer-information-systems/certificate-options/computer-science-option-as-degree.php
other,https://www.berkshirecc.edu/academics/honors/phi-theta-kappa.php
other,https://www.berkshirecc.edu/academics/stem/stem-starter-academy/
other,https://www.berkshirecc.edu/academics/academic-support/the-trio-program/
other,http://jordanchretien.site/finalproject/index.html
other,#
other,#
other,#
other,#
other,#
other,#
other,images/projects/big-images/roughbellabox.jpg
other,images/projects/big-images/funguywindow.jpg
other,images/projects/big-images/wirewrap.jpg
other,images/projects/big-images/heatherhat1.jpg
other,images/projects/big-images/robot2.jpg
other,images/projects/big-images/gratefulbox1.jpg
other,images/projects/big-images/newpainting.jpg
other,images/projects/big-images/fishheart.jpg
other,images/projects/big-images/ryanzhat2.jpg
other,images/projects/big-images/bigwild.jpg
other,images/projects/big-images/latchbox2.jpg
other,images/projects/big-images/tabledrawing.jpg
other,images/projects/big-images/deadboxtop.jpg
other,images/projects/big-images/shoes.jpg
other,images/projects/big-images/arduinocar.jpg
other,images/projects/big-images/gdbolt.jpg
other,images/projects/big-images/galacticsunflower.jpg
other,images/projects/big-images/deadboxtop2.jpg
other,images/projects/big-images/ryderbox.jpg
other,images/projects/big-images/bbgloves.jpg
other,journal/journal_java.html
other,journal/journal_datastructures.html
other,journal/cppTwoList.html
other,https://www.berkshirebuilders623.com
other,https://docs.google.com/spreadsheets/d/1CkqK_uiDaHqN8SLlrvMJTQDqydCYCJNCqrl_Ln4WJl0/edit?usp=sharing
other,journal/journal_addresstheTimes.html
other,journal/cppOneList.html
other,journal/digitalCircuitsFinal.html
other,journal/accountability.html
other,journal/journal_imposter.html
other,journal/journal_deeplearning.html
other,journal/journal_designphase_good.html
other,https://www.linkedin.com/in/ryan-zurrin-586189128/
other,https://www.facebook.com/ryanzurrin
other,https://twitter.com/ryan_zurrin
other,https://github.com/RyanZurrin
other,https://www.freecodecamp.org/ryanzurrin
other,https://www.google.com/search?sxsrf=ACYBGNRO5tweKHjhR1tReumjg2c26eYnKw%3A1578044414792&source=hp&ei=_gsPXqz6Lca-tQWppYmACw&q=Ryan+Zurrin&oq=Ryan+Zurrin&gs_l=psy-ab.3..35i39.17551.19639..19973...3.0..0.91.907.11......0....1..gws-wiz.....10..35i362i39j0j0i131j0i10j0i22i30j0i13j0i13i5i30.75XmNBx0TDs&ved=0ahUKEwis8Z_GkefmAhVGX60KHalSArAQ4dUDCAc&uact=5
other,https://www.google.com/search?sxsrf=ACYBGNRO5tweKHjhR1tReumjg2c26eYnKw%3A1578044414792&source=hp&ei=_gsPXqz6Lca-tQWppYmACw&q=Ryan+Zurrin&oq=Ryan+Zurrin&gs_l=psy-ab.3..35i39.17551.19639..19973...3.0..0.91.907.11......0....1..gws-wiz.....10..35i362i39j0j0i131j0i10j0i22i30j0i13j0i13i5i30.75XmNBx0TDs&ved=0ahUKEwis8Z_GkefmAhVGX60KHalSArAQ4dUDCAc&uact=5
other,https://www.google.com/search?sxsrf=ACYBGNRO5tweKHjhR1tReumjg2c26eYnKw%3A1578044414792&source=hp&ei=_gsPXqz6Lca-tQWppYmACw&q=Ryan+Zurrin&oq=Ryan+Zurrin&gs_l=psy-ab.3..35i39.17551.19639..19973...3.0..0.91.907.11......0....1..gws-wiz.....10..35i362i39j0j0i131j0i10j0i22i30j0i13j0i13i5i30.75XmNBx0TDs&ved=0ahUKEwis8Z_GkefmAhVGX60KHalSArAQ4dUDCAc&uact=5
other,https://www.google.com/search?sxsrf=ACYBGNRO5tweKHjhR1tReumjg2c26eYnKw%3A1578044414792&source=hp&ei=_gsPXqz6Lca-tQWppYmACw&q=Ryan+Zurrin&oq=Ryan+Zurrin&gs_l=psy-ab.3..35i39.17551.19639..19973...3.0..0.91.907.11......0....1..gws-wiz.....10..35i362i39j0j0i131j0i10j0i22i30j0i13j0i13i5i30.75XmNBx0TDs&ved=0ahUKEwis8Z_GkefmAhVGX60KHalSArAQ4dUDCAc&uact=5
other,https://www.google.com/search?sxsrf=ACYBGNRO5tweKHjhR1tReumjg2c26eYnKw%3A1578044414792&source=hp&ei=_gsPXqz6Lca-tQWppYmACw&q=Ryan+Zurrin&oq=Ryan+Zurrin&gs_l=psy-ab.3..35i39.17551.19639..19973...3.0..0.91.907.11......0....1..gws-wiz.....10..35i362i39j0j0i131j0i10j0i22i30j0i13j0i13i5i30.75XmNBx0TDs&ved=0ahUKEwis8Z_GkefmAhVGX60KHalSArAQ4dUDCAc&uact=5
other,#wrapper
